Latitude_x,Longitude_x,Latitude_y,Longitude_y
40.598057,-111.894165,40.65267,-111.86664
43.278099,-86.311096,43.28508,-86.34485
35.2994,-106.548302,35.309544,-106.50629
37.358898,-77.593597,37.3196,-77.550354
46.682301,-68.016197,46.740902,-68.03424
35.238098,-106.649399,35.190475,-106.62422
45.089199,-67.078598,45.035835,-67.061005
46.243622,-114.15889,46.289505,-114.15903
48.705551,-116.368965,48.72552,-116.3526
39.396099,-89.809402,39.397408,-89.75952
41.085361,-104.522774,41.118877,-104.56732
32.879108,-96.913551,32.90305,-96.93573
34.681099,-92.3283,34.641655,-92.328705
33.999451,-117.415833,34.028877,-117.45859
34.830601,-92.259399,34.85782,-92.315155
33.996387,-117.4925,34.028877,-117.45859
32.630013,-96.800598,32.57924,-96.808014
37.682499,-121.440598,37.674694,-121.48996
42.331551,-122.880264,42.325203,-122.924286
53.593601,-116.392799,51.858418,-115.69287
46.474438,-117.614761,46.455772,-117.55736
48.783298,-123.133301,48.807137,-123.08151
38.876301,-107.602203,38.926655,-107.55655
25.67555,-100.338333,25.681358,-100.344635
37.2817,-120.433601,37.243786,-120.35283
33.29015,-112.159874,33.258217,-112.11389
46.682201,-71.967796,46.673325,-72.00055
35.498711,-83.310242,35.526737,-83.30524
35.696701,-83.608902,35.666107,-83.54889
35.562801,-83.4981,35.542923,-83.43683
25.745001,-100.254723,25.790886,-100.23157
39.263912,-86.292259,39.237328,-86.255554
35.676128,-101.439667,35.625793,-101.466705
33.663601,-89.062202,33.69055,-89.00241
30.1975,-91.128304,30.154549,-91.10333
33.1325,-96.786102,33.11877,-96.80664
45.457348,-123.802811,45.42294,-123.73596
50.200802,-104.7108,50.185154,-104.73468
30.0411,-90.272797,29.99535,-90.24655
38.135799,-94.731903,38.186874,-94.72174
33.144661,-96.828812,33.11877,-96.80664
46.442501,-72.892799,46.40209,-72.92105
35.002197,-78.991943,35.012646,-78.97113
36.6675,-76.7314,36.625748,-76.76962
36.903301,-76.438599,36.89461,-76.41528
45.42635,-117.296066,45.405476,-117.212814
42.672501,-81.164703,42.628883,-81.242004
43.665001,-87.716103,43.618225,-87.79404
28.347799,-81.636703,28.313519,-81.59369
46.993599,-120.544998,46.956722,-120.4841
34.285599,-79.744698,34.246906,-79.69049
35.377201,-89.831902,35.379707,-89.885895
49.663898,-93.7211,49.613914,-93.79114
29.0436,-95.473602,29.023174,-95.47131
46.658798,-112.0131,46.66085,-112.03342
34.514999,-98.3983,34.515385,-98.37875
40.960602,-85.380302,41.014824,-85.39627
30.4744,-88.141098,30.47963,-88.07904
39.645287,-119.84005,39.58995,-119.842834
41.301289,-72.902687,41.262833,-72.98813
30.389999,-89.049698,30.345253,-89.093475
41.492802,-112.0187,41.50865,-112.0553
39.250439,-119.956741,39.22048,-120.009674
41.512032,-90.624016,41.517696,-90.695435
46.842297,-114.020546,46.85807,-113.99774
49.490799,-117.295303,49.46723,-117.27173
52.298901,-113.794197,52.10345,-113.6743
39.15937,-86.504745,39.154793,-86.55002
