County,Age65AndOlderPct2020,AvgHHSize,Ed1LessThanHSPct,Ed5CollegePlusPct,Net_InterMigrationRate_2020_2021,OwnHomePct,Under18Pct2020,PctEmpChange2021,PctEmpAgriculture,PctEmpMining,PctEmpConstruction,PctEmpManufacturing,PctEmpTrans,PctEmpServices,PctEmpTrade,UnempRate2021,Deep_Pov_All,Median_HH_Inc_ACS,PerCapitaInc,Poverty_Rate_ACS,POPESTIMATE2021,PopDensity2020
Miami,17.21,2.58,4.71,32.8,0.02,79.1,24.72,3.1,2.490667289,0.174988334,9.921838544,9.30354643,6.649556696,43.26878208,14.29071395,2.9,2.847711928,79211,37964,6.157539385,34593,59.37
Mitchell,23.46,2.34,5.17,25.9,0,70.31,23.05,0.8,8.944610778,0,6.661676647,7.821856287,4.154191617,49.17664671,12.76197605,2,7.441779023,49250,28653,12.83488006,5748,8.26
Montgomery,20.16,2.41,9.96,20.49,0.04,71.58,23.57,2.5,1.873167942,1.072424394,5.562307857,20.49045542,5.8411382,43.46893544,13.46965039,3.9,7.801533663,47697,26117,17.57538342,31156,48.92
Morris,24.64,2.31,7.2,25.25,0.04,81.52,21.46,0.7,6.833210874,0,6.465833946,10.8376194,8.706833211,43.24026451,10.06612785,2.4,5.621580834,50242,29790,11.2242973,5356,7.75
Morton,20.84,2.86,12.26,17.23,0.07,67.48,24.36,0.9,19.85111663,4.962779156,9.760132341,0.496277916,4.301075269,40.69478908,9.098428453,2.6,3.841850056,51447,24674,12.12234241,2692,3.70
Nemaha,19.58,2.5,6.55,28.11,0,75.8,26.09,0.5,9.988038278,0.159489633,4.445773525,19.89633174,6.997607656,40.09170654,11.80223285,1.8,3.318830315,65177,33699,8.327430942,10216,14.32
Neosho,19.71,2.49,8.98,20.51,0.09,74.73,24.69,0,6.120737842,0.544997205,4.443823365,15.77697037,5.435997764,41.34991615,14.50531023,4.3,5.608020699,54479,27265,14.23673997,15784,27.83
Ness,25.05,2.31,8.51,21.95,0.11,85.03,19.99,-1.6,16.22928177,10.01381215,4.488950276,3.660220995,4.419889503,42.05801105,10.56629834,2.2,3.448275862,63241,36010,9.220389805,2672,2.50
Norton,20.32,2.51,9.76,23.29,0,79.02,19.4,1.7,3.585657371,1.062416999,6.197432492,12.30633023,11.11111111,40.77025232,7.658255865,1.8,3.760721355,49326,27620,6.597756763,5342,6.22
Osage,20.02,2.47,8.26,21.37,0,77.91,23.17,2.8,3.36044806,0.29337245,9.161221496,9.027870383,11.10814775,43.20576077,10.14801974,3,5.606694561,61702,29371,11.36787898,15768,22.35
Osborne,25.11,2.15,5.89,21.48,0,76.57,21.34,0.3,12.5,1.407657658,6.362612613,9.966216216,3.885135135,43.52477477,13.51351351,1.8,3.452311293,55551,31866,13.48741954,3498,3.92
Ottawa,20.61,2.41,5.03,21.25,0.02,78.86,23.09,1.2,9.939437122,0.213751336,7.053794086,11.15069469,5.700035625,39.90024938,12.21945137,2.8,6.051011434,57455,32447,11.27528584,5838,7.96
Pawnee,21.65,2.31,9.26,19.49,0,61.25,20.45,0.6,14.10210639,0.535523028,6.926097822,7.033202428,4.426990361,50.01785077,7.211710104,2.2,5.934227448,50988,28956,12.41962153,6225,8.29
Phillips,24.41,2.24,9.1,21.46,0.02,73.35,22.3,1,13.13047103,0.958732805,6.210921217,5.960817007,6.294289287,45.89412255,9.462275948,2.1,5.46303818,53919,31125,14.15515841,4815,5.62
Pottawatomie,14.53,2.82,4.31,36.71,0,78.85,29.4,2.5,3.454376948,0.530794507,9.065633162,8.964529447,4.768725251,52.15266661,8.863425731,2.5,3.312462129,76089,32042,8.240759443,25790,30.15
Pratt,20.45,2.41,7.16,32.09,0,67.72,23.75,1.1,6.092483016,3.309226386,5.851413544,5.566513259,6.245890861,49.06859522,15.27503835,2.2,4.613636364,57109,30195,11.42045455,9181,12.46
Rawlins,27.14,2.14,4.54,21.68,0,68.21,22.57,6.6,18.39246923,2.027516293,5.648081101,7.241129616,5.068790731,37.58146271,16.50977553,1.6,4.178384894,58590,31190,12.21374046,2549,2.39
Reno,19.89,2.37,8.72,20.7,0.01,70.69,22.22,2.3,2.337274086,1.029351814,5.656339177,14.72007066,4.643973366,44.19758119,16.26919418,3.2,5.354759129,53359,29165,11.66083709,61414,49.31
Republic,27.11,2.23,4.8,26.1,0,72.17,21.29,2.7,14.28571429,0.818926297,6.551410373,12.51137398,6.005459509,37.98908098,15.51410373,2.3,4.956709957,50268,28468,11.6017316,4662,6.52
Rice,19.47,2.34,7.12,22.5,0.02,76,23.18,6.3,6.501950585,2.232336368,3.727785002,15.23623754,5.613350672,45.5786736,9.644560035,2.4,4.088372623,56379,28266,10.72770755,9390,12.98
Riley,9.98,2.39,3.89,48.17,0.1,45.4,17.06,2.6,1.487171106,0.070817672,5.43934194,4.622214959,2.426867135,61.38530261,13.39815874,2.8,12.30369379,53296,30467,22.04930299,72208,118.02
Rooks,22.93,2.28,9.52,20.66,0,74.07,22.08,-1.2,7.151767152,6.694386694,4.98960499,7.775467776,4.573804574,45.44698545,12.97297297,2.4,1.733862544,55000,29645,4.78378943,4831,5.52
Rush,25.14,2.14,7.59,20.44,0,77.47,19.79,2.9,7.55773268,2.029391183,8.607417775,12.66620014,10.21693492,40.09797061,10.07697691,2.4,3.627311522,50714,34123,9.530583215,2953,4.12
Russell,24.56,2.27,6.92,21.56,-0.01,80.17,22.61,3.3,3.39417227,3.39417227,4.771053474,9.670188921,8.613512648,39.5132885,17.09894332,2.4,7.062915911,52108,28472,15.21476104,6703,7.55
Saline,18.3,2.4,6.66,27.81,0.03,66.43,23.14,2,1.888696655,0.241493656,4.209919262,15.52768166,4.090974625,50.85423875,13.90931373,3,4.508622481,55175,30255,11.52938065,53888,75.40
Scott,19.76,2.4,16,23.94,0,56.39,26.19,1.1,19.47620804,1.438583549,2.877167097,5.459240133,6.897823681,37.8089266,19.07045371,1.6,1.466798811,46583,30013,9.454905847,5131,7.18
Sedgwick,14.89,2.56,10.45,31.18,0.05,62.01,25,3.4,0.583641233,0.315838774,7.016504477,17.73460736,4.319265365,46.94308898,13.29725272,4.6,5.972149709,60593,32302,13.20005611,523828,525.43
Seward,10.63,3.01,29.58,11.32,0.1,63.83,30.54,2,8.40871331,4.615100609,4.744323426,22.94628023,5.52889053,33.93021968,12.00849179,2.8,5.777084385,51809,23439,13.84848346,21747,34.34
